"PrincipalComponent","VarianceProportion","VariancePercent","CumulativePercent"
"PC244",8.55450485842943e-05,0.00855450485842943,99.6309919667568
"PC245",8.28815165689294e-05,0.00828815165689294,99.6392801184137
"PC246",8.1983536107389e-05,0.00819835361073891,99.6474784720245
"PC247",8.00266979870091e-05,0.00800266979870091,99.6554811418232
"PC248",7.85763983716329e-05,0.00785763983716329,99.6633387816603
"PC249",7.73353981864064e-05,0.00773353981864064,99.671072321479
"PC250",7.7071598058664e-05,0.0077071598058664,99.6787794812848
"PC251",7.59019357130982e-05,0.00759019357130982,99.6863696748562
"PC252",7.39443440782863e-05,0.00739443440782863,99.693764109264
"PC253",7.19844585705936e-05,0.00719844585705936,99.700962555121
"PC254",7.13405048218716e-05,0.00713405048218716,99.7080966056032
"PC255",7.05866859834246e-05,0.00705866859834246,99.7151552742016
"PC256",6.85561393385817e-05,0.00685561393385817,99.7220108881354
"PC257",6.80718241615546e-05,0.00680718241615546,99.7288180705516
"PC258",6.70229496250684e-05,0.00670229496250684,99.7355203655141
"PC259",6.56338268359914e-05,0.00656338268359914,99.7420837481977
"PC260",6.41838820774446e-05,0.00641838820774446,99.7485021364054
"PC261",6.26169173503008e-05,0.00626169173503008,99.7547638281405
"PC262",6.19504658171527e-05,0.00619504658171527,99.7609588747222
"PC263",6.12635719498442e-05,0.00612635719498442,99.7670852319172
"PC264",5.96043011831747e-05,0.00596043011831747,99.7730456620355
"PC265",5.93288350724535e-05,0.00593288350724535,99.7789785455427
"PC266",5.88202206947993e-05,0.00588202206947993,99.7848605676122
"PC267",5.70609434067676e-05,0.00570609434067676,99.7905666619529
"PC268",5.61554801418874e-05,0.00561554801418874,99.7961822099671
"PC269",5.51478667499898e-05,0.00551478667499898,99.8016969966421
"PC270",5.47255275338547e-05,0.00547255275338547,99.8071695493955
"PC271",5.32896193637606e-05,0.00532896193637606,99.8124985113318
"PC272",5.28160823014243e-05,0.00528160823014243,99.817780119562
"PC273",5.07921554583823e-05,0.00507921554583823,99.8228593351078
"PC274",5.00131325716719e-05,0.00500131325716719,99.827860648365
"PC275",4.96626197481838e-05,0.00496626197481838,99.8328269103398
"PC276",4.87474318419445e-05,0.00487474318419445,99.837701653524
"PC277",4.65502758831294e-05,0.00465502758831294,99.8423566811123
"PC278",4.58658611787726e-05,0.00458658611787726,99.8469432672302
"PC279",4.48836847483914e-05,0.00448836847483914,99.851431635705
"PC280",4.41964866275685e-05,0.00441964866275685,99.8558512843678
"PC281",4.3209069078573e-05,0.0043209069078573,99.8601721912756
"PC282",4.27032126172009e-05,0.00427032126172009,99.8644425125374
"PC283",4.20372587818122e-05,0.00420372587818122,99.8686462384155
"PC284",4.11532464964204e-05,0.00411532464964204,99.8727615630652
"PC285",3.9397663375585e-05,0.0039397663375585,99.8767013294027
"PC286",3.91341240722646e-05,0.00391341240722646,99.88061474181
"PC287",3.79562511308633e-05,0.00379562511308633,99.884410366923
"PC288",3.74058998610789e-05,0.00374058998610789,99.8881509569092
"PC289",3.61703712688719e-05,0.00361703712688719,99.891767994036
"PC290",3.47865463077472e-05,0.00347865463077472,99.8952466486668
"PC291",3.46253908704446e-05,0.00346253908704446,99.8987091877539
"PC292",3.31825204113059e-05,0.00331825204113059,99.902027439795
"PC293",3.29465264114294e-05,0.00329465264114294,99.9053220924361
"PC294",3.26620847884833e-05,0.00326620847884833,99.908588300915
"PC295",3.2014550822645e-05,0.0032014550822645,99.9117897559972
"PC296",3.14250505371802e-05,0.00314250505371802,99.914932261051
"PC297",3.05614522704165e-05,0.00305614522704165,99.917988406278
"PC298",3.04386090524692e-05,0.00304386090524692,99.9210322671833
"PC299",2.98602430773232e-05,0.00298602430773232,99.924018291491
"PC300",2.9061370362031e-05,0.0029061370362031,99.9269244285272
"PC301",2.84460270145342e-05,0.00284460270145342,99.9297690312286
"PC302",2.78379678211378e-05,0.00278379678211378,99.9325528280108
"PC303",2.65469319991388e-05,0.00265469319991388,99.9352075212107
"PC304",2.60744179417931e-05,0.00260744179417931,99.9378149630049
"PC305",2.50767561088902e-05,0.00250767561088902,99.9403226386157
"PC306",2.45344758022899e-05,0.00245344758022899,99.942776086196
"PC307",2.36079265215993e-05,0.00236079265215993,99.9451368788481
"PC308",2.30653192926912e-05,0.00230653192926912,99.9474434107774
"PC309",2.2467418014205e-05,0.0022467418014205,99.9496901525788
"PC310",2.13191864487262e-05,0.00213191864487262,99.9518220712237
"PC311",2.1032443624501e-05,0.0021032443624501,99.9539253155861
"PC312",2.05054971041944e-05,0.00205054971041944,99.9559758652966
"PC313",2.03386740218162e-05,0.00203386740218162,99.9580097326987
"PC314",2.00785973820538e-05,0.00200785973820538,99.9600175924369
"PC315",1.97050191071129e-05,0.00197050191071129,99.9619880943477
"PC316",1.90915184002001e-05,0.00190915184002001,99.9638972461877
"PC317",1.83477297663202e-05,0.00183477297663202,99.9657320191643
"PC318",1.81347803329757e-05,0.00181347803329757,99.9675454971976
"PC319",1.74853578080082e-05,0.00174853578080082,99.9692940329784
"PC320",1.71245534804775e-05,0.00171245534804775,99.9710064883265
"PC321",1.63919600512037e-05,0.00163919600512037,99.9726456843316
"PC322",1.59675467773235e-05,0.00159675467773235,99.9742424390093
"PC323",1.55741967307221e-05,0.00155741967307221,99.9757998586824
"PC324",1.51018268225458e-05,0.00151018268225458,99.9773100413646
"PC325",1.41848538832746e-05,0.00141848538832746,99.978728526753
"PC326",1.39039082099995e-05,0.00139039082099995,99.980118917574
"PC327",1.37387285107737e-05,0.00137387285107737,99.981492790425
"PC328",1.30346918001215e-05,0.00130346918001215,99.9827962596051
"PC329",1.28322946936296e-05,0.00128322946936296,99.9840794890744
"PC330",1.26029711511042e-05,0.00126029711511042,99.9853397861895
"PC331",1.2039122522652e-05,0.0012039122522652,99.9865436984418
"PC332",1.13319503871364e-05,0.00113319503871364,99.9876768934805
"PC333",1.11561713198765e-05,0.00111561713198765,99.9887925106125
"PC334",1.03443544445547e-05,0.00103443544445547,99.989826946057
"PC335",1.02202173600519e-05,0.00102202173600519,99.990848967793
"PC336",9.61412944697044e-06,0.000961412944697044,99.9918103807376
"PC337",9.54730337726533e-06,0.000954730337726533,99.9927651110754
"PC338",9.10603628292099e-06,0.000910603628292099,99.9936757147037
"PC339",8.63062153262437e-06,0.000863062153262437,99.9945387768569
"PC340",8.22078080272758e-06,0.000822078080272758,99.9953608549372
"PC341",7.9958070229256e-06,0.00079958070229256,99.9961604356395
"PC342",7.47870534153361e-06,0.000747870534153361,99.9969083061737
"PC343",7.2012950616049e-06,0.00072012950616049,99.9976284356798
"PC344",6.55408689045018e-06,0.000655408689045018,99.9982838443689
"PC345",6.22223278871524e-06,0.000622223278871524,99.9989060676477
"PC346",5.97279906377051e-06,0.000597279906377051,99.9995033475541
"PC347",4.96652445888342e-06,0.000496652445888342,100
"PC348",4.66471429424444e-32,4.66471429424444e-30,100
