ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:2001057,reactive nitrogen species metabolic process,22/2577,62/12963,0.0029668044365382513,0.019074330069396343,0.013178783334719637,TLR6/TLR4/SIRPA/TLR2/PTGS2/JAK2/IL1B/MTARC1/CLEC7A/CYP1B1/ROCK2/KLF4/ATP2B4/CD36/NOS1AP/EDN1/TSPO/CLU/GCH1/PTX3/MTARC2/IL10,22
GO:0043297,apical junction assembly,19/2577,51/12963,0.0029821042803918505,0.01912720977945283,0.01321531883762337,MPP7/PAK2/APC/ROCK1/PKN2/STRN/F11R/ROCK2/VCL/CTNNA1/PECAM1/PARD3/FZD5/AFDN/CLDN9/CLDN10/SNAI1/CDH5/OCLN,19
GO:1904705,regulation of vascular associated smooth muscle cell proliferation,19/2577,51/12963,0.0029821042803918505,0.01912720977945283,0.01321531883762337,PTEN/MAP3K5/JAK2/GNA13/FRS2/MFN2/TPM1/HPGD/MMP9/CALCRL/GPER1/PPARG/EDN1/PRKG1/ADAMTS1/MIR27A/IL10/FGF2/MMP2,19
GO:0005976,polysaccharide metabolic process,27/2577,81/12963,0.002997262466937205,0.01917893273222422,0.013251055116985537,PPP1R3B/MGAM/PPP1R3D/PYGL/CSGALNACT2/GSK3B/IRS2/GABARAPL1/RB1CC1/PHKA2/NDST1/GBE1/PGM2/CSGALNACT1/PPP1CB/LEPR/STK40/GYG1/EXT1/RUBCNL/NFKB1/IL6ST/EGF/NDST2/PYGM/NDST3/ADCY10,27
GO:0031644,regulation of nervous system process,27/2577,81/12963,0.002997262466937205,0.01917893273222422,0.013251055116985537,PTEN/LRRK2/DICER1/ACP3/ITGAX/ROCK2/SSH1/NRDC/ABAT/FMR1/RNF10/WASF3/NLGN3/APP/SPX/PARD3/CHRNA2/GHRL/AVPR1A/NRXN1/CST7/CCN3/NTSR1/BEGAIN/SLC8A3/CHRNA7/NETO1,27
GO:0002042,cell migration involved in sprouting angiogenesis,17/2577,44/12963,0.0031240323949378317,0.01981265563539917,0.013688905191132673,PTGS2/NOTCH1/MAP3K3/KLF4/THBS1/VEGFA/NR2E1/EPHB4/PDCD10/EGR3/ANXA1/MIR23A/MIR27A/JCAD/NR4A1/GATA2/FGF2,17
GO:0002067,glandular epithelial cell differentiation,17/2577,44/12963,0.0031240323949378317,0.01981265563539917,0.013688905191132673,HIF1A/BMAL1/GSK3B/PDPK1/NOTCH1/KLF4/RARA/RFX3/EXT1/SLC9A4/FZD5/CDH2/BMP2/NFIB/GATA2/IL31RA/FGF2,17
GO:0010517,regulation of phospholipase activity,17/2577,44/12963,0.0031240323949378317,0.01981265563539917,0.013688905191132673,GNAQ/C5AR1/RASGRP4/RGS2/PDPK1/GNA13/LPAR2/P2RY12/ARHGAP6/SNCA/LPAR1/ANXA1/FLT1/AVPR1A/KIT/PDGFRA/FGF2,17
GO:0022617,extracellular matrix disassembly,17/2577,44/12963,0.0031240323949378317,0.01981265563539917,0.013688905191132673,LCP1/CTSS/EXOC8/ADAM10/SH3PXD2B/CLASP1/FURIN/ADAM8/FLOT1/MMP9/MMP8/HPN/MMP19/FAP/ADAMTS5/MMP1/MMP2,17
GO:0045428,regulation of nitric oxide biosynthetic process,17/2577,44/12963,0.0031240323949378317,0.01981265563539917,0.013688905191132673,TLR6/TLR4/SIRPA/PTGS2/JAK2/IL1B/CLEC7A/ROCK2/KLF4/ATP2B4/CD36/NOS1AP/EDN1/TSPO/CLU/PTX3/IL10,17
GO:0042593,glucose homeostasis,49/2577,170/12963,0.003124501292740349,0.01981265563539917,0.013688905191132673,FOSL2/IGF1R/SLC12A6/STXBP3/GPR27/PYGL/KLF7/HK2/CYB5R4/HIF1A/ALOX5/STAT3/IRS2/TCF7L2/CCDC186/PIK3CA/RAF1/APPL2/PRCP/PRKAA1/NADK/PPP3CA/LEPR/ICAM1/FFAR2/PDK3/SESN3/HK3/ADIPOR1/PDK4/RMI1/RAB11FIP2/GCLM/PIM3/GPER1/CNR1/PTPRN2/CEBPA/GHRL/PPARG/GJB6/PRKCE/FKBP1B/GCKR/SLC2A4/CMKLR2/SUCNR1/ZBED6/ADRA2A,49
GO:0002347,response to tumor cell,15/2577,37/12963,0.0031292783267303295,0.01981265563539917,0.013688905191132673,NOTCH2/FBXO38/NOTCH1/TXNIP/KLF4/TNFRSF10B/LAPTM5/CEACAM1/CD274/DAPK1/SPI1/PVR/AHR/SLC22A13/NECTIN2,15
GO:0042092,type 2 immune response,15/2577,37/12963,0.0031292783267303295,0.01981265563539917,0.013688905191132673,BCL6/IL4R/NLRP3/HLX/ARG1/RARA/STAT6/NOD2/TNFSF4/BCL3/IL18/SOCS5/ANXA1/RSAD2/IL10,15
GO:1904645,response to amyloid-beta,15/2577,37/12963,0.0031292783267303295,0.01981265563539917,0.013688905191132673,TLR6/TLR4/FPR2/IGF1R/PSEN1/GSK3B/CASP4/SNX6/ICAM1/APP/MMP9/CD36/CACNA2D1/CHRNA7/MMP2,15
GO:0003007,heart morphogenesis,48/2577,166/12963,0.0031922115679708005,0.020187471284231717,0.013947871781752379,EGLN1/NIPBL/NOTCH2/APC/HIF1A/CERT1/TGFBR2/RTN4/PSEN1/SEC24B/TGFBR1/RBPJ/NOTCH1/MICAL2/ALDH1A2/ZMIZ1/DLC1/JAG1/SEMA3C/MIB1/TPM1/EXT1/NRG1/SHOX2/VEGFA/MYBPC3/CHD7/SMARCD3/EPHB4/FZD1/PKP2/BMPR2/PIM1/FOXC1/BMP2/TEK/HEY1/EDN1/ADAMTS1/ADAMTS5/SFRP2/RYR2/SNAI1/CCM2L/DSP/EFNA1/CCDC40/XIRP2,48
GO:0090276,regulation of peptide hormone secretion,39/2577,129/12963,0.0032060475124552935,0.02025128376150207,0.013991960921918144,GPR27/KLF7/PRKAR1A/HIF1A/F2RL1/BMAL1/ACSL4/ALOX5/PFKFB2/JAK2/IL1B/IRS2/TCF7L2/RAB8B/PRKCB/MIDN/INHBB/NADK/PPP3CA/ABAT/RFX3/FFAR2/CHD7/FFAR3/PIM3/GPER1/CNR1/SYTL4/SFRP1/GNAZ/GHRL/PLCB1/PRKCE/FKBP1B/CCN3/FAM3D/ZBED6/ADRA2A/TNFSF11,39
GO:0046683,response to organophosphorus,31/2577,97/12963,0.003231029317028666,0.020385268981533252,0.014084533619277452,AQP9/ZFP36L1/PIK3CG/PTGS2/FOS/RAPGEF2/THBD/IL1B/BRAF/CYP1B1/PTAFR/BIRC2/SSH1/INHBB/TAF1/P2RY1/KCNE1/P2RY12/LPAR1/PDE2A/DMTN/TEK/AHR/SLC6A4/AQP1/P2RY2/PDE3A/PER1/GATA1/CDO1/AKR1C1,31
GO:0033032,regulation of myeloid cell apoptotic process,12/2577,27/12963,0.0032472066101973053,0.02046345704118512,0.014138555097031328,CXCR2/STAT5B/PIK3CB/PIK3CD/HCAR2/ADAM17/MAEA/NOD2/CLEC5A/ANXA1/GATA1/KITLG,12
